pond_density,density_score,pond_area,area_score,SI9_oldham,SI9_lee,gcn_present
17.86040194,1,1725.29955,0.841629375,1,0.8,0
18.15523698,1,1619.6814,0.85770752,1,0.8,0
18.07108323,1,122.47327,0.24494654,1,0.65,0
17.95708292,1,211.11132,0.42222264,1,0.65,0
20.31637879,1,181.95612,0.36391224,1,0.74,0
20.72253946,1,321.99644,0.64399288,1,0.75,0
18.13232241,1,452.00287,0.90400574,1,0.85,0
20.4291385,1,1343.65987,0.899726002,1,0.65,0
19.61066485,1,283.72536,0.56745072,1,0.75,0
18.25937466,1,464.24855,0.9284971,1,0.8,0
17.96762027,1,407.06676,0.81413352,1,0.8,0
19.71500375,1,2260.98341,0.760082756,1,0.84,0
19.47300995,1,632.80664,1,1,0.8,0
19.87272712,1,346.39927,0.69279854,1,0.75,0
20.89684463,1,1590.69745,0.862119718,1,0.65,0
17.62079769,1,532.5709,1,1,0.75,0
17.12238025,1,119881.3956,0,1,0.75,0
20.12460979,1,134.47688,0.26895376,1,0.8,0
18.3995385,1,10252.35725,0,1,0.85,0
19.40963019,1,7.36527,0.01473054,1,0.75,0
14.02494767,1,422.70629,0.84541258,1,0.9,0
4.582712337,1,6430.61021,0.125344638,1,0.84,0
16.77441062,1,277.43651,0.55487302,1,0.75,0
20.16424361,1,52.17297,0.10434594,1,0.75,0
10.38207843,1,949.71464,0.95969589,1,0.75,0
20.18793333,1,890.77567,0.968668111,1,0.75,0
17.77896171,1,556.11369,1,1,0.76,0
20.81235376,1,100.2374,0.2004748,1,0.75,0
18.15631857,1,27213.06744,0,1,0.85,0
20.76328964,1,612.72726,1,1,0.85,0
19.47218821,1,426.52644,0.85305288,1,0.75,0
17.75081376,1,4609.0481,0.402639217,1,0.84,0
16.25382073,1,1006.43843,0.951060884,1,0.84,0
20.4372365,1,42.75038,0.08550076,1,0.65,0
21.08586178,1,92.724,0.185448,1,0.75,0
20.28654276,1,299.27088,0.59854176,1,0.75,0
20.79653406,1,51.75034,0.10350068,1,0.75,0
20.50412748,1,1207.55021,0.920445839,1,0.85,0
19.32273318,1,58.62294,0.11724588,1,0.84,0
19.73734224,1,3922.83992,0.507100002,1,0.8,0
18.11817406,1,1024.11817,0.948369515,1,0.84,0
18.13153714,1,112.51053,0.22502106,1,0.65,0
18.71926919,1,505.55428,1,1,0.85,0
20.51080316,1,318.80568,0.63761136,1,0.65,0
20.38123235,1,130.14749,0.26029498,1,0.16,0
18.85440884,1,325.12782,0.65025564,1,0.75,0
21.21677521,1,193.91178,0.38782356,1,0.65,0
20.71857193,1,208.68449,0.41736898,1,0.8,0
20.7073683,1,88.60249,0.17720498,0.80743728,0.75,0
20.24905728,1,379.47176,0.75894352,1,0.75,0
19.47395426,1,367.93311,0.73586622,1,0.65,1
20.37712007,1,168.50585,0.3370117,1,0.65,1
19.55751944,1,386.56857,0.77313714,1,0.8,1
19.4350015,1,535.8058,1,1,0.75,1
20.93648165,1,47.99389,0.09598778,1,0.75,1
19.23890635,1,480.27841,0.96055682,1,0.75,1
20.56559652,1,109.15231,0.21830462,1,0.85,1
20.78340368,1,44.76255,0.0895251,1,0.85,1
19.79140227,1,337.29604,0.67459208,1,0.65,1
18.94163927,1,1151.01159,0.929052657,1,0.65,1
20.94632936,1,38.30278,0.07660556,1,0.75,1
19.55972223,1,135.83227,0.27166454,1,0.75,1
20.19923369,1,191.99639,0.38399278,1,0.75,1
18.88507588,1,734.07026,0.992523218,0.830262007,0.65,1
20.94477981,1,75.83469,0.15166938,1,0.8,1
20.8441682,1,51.17435,0.1023487,1,0.75,1
19.5617683,1,374.8162,0.7496324,1,0.85,1
20.12759527,1,191.17815,0.3823563,1,0.85,1
18.96349484,1,866.13423,0.972419252,1,0.8,1
15.15792257,1,6283.38223,0.147757007,1,0.75,1
11.08885186,1,19932.54745,0,1,0.78,1
15.73833356,1,4837.96873,0.367790858,1,0.78,1
10.84003419,1,17727.06877,0,1,0.78,1
18.00136883,1,1945.45938,0.808114664,1,0.75,1
16.04476051,1,4843.47631,0.366952445,1,0.75,1
15.51849625,1,2879.49594,0.665927213,1,0.75,1
21.1000665,1,33.1816,0.0663632,1,0.75,1
16.3863217,1,3564.83611,0.561598564,1,0.8,1
11.1040624,1,8595.64373,0,1,0.8,1
18.72082945,1,1051.88542,0.944142534,1,0.74,1
20.71719085,1,78.52158,0.15704316,1,0.75,1
14.75993696,1,974.6501,0.95589999,1,0.75,1
19.8267144,1,471.96188,0.94392376,1,0.8,1
20.23294291,1,160.25664,0.32051328,0.932255876,0.8,1
18.98406354,1,832.52669,0.977535295,1,0.8,1
15.85299755,1,175.51555,0.3510311,1,0.75,1
20.22688989,1,7205.95064,0.00731534,1,0.8,1
16.54871494,1,135.91988,0.27183976,0.93751065,0.8,1
19.60234179,1,118.15923,0.23631846,0.824715165,0.65,1
19.2167907,1,77.02985,0.1540597,1,0.75,1
20.6518021,1,31.10771,0.06221542,0.946958885,0.8,1
20.93186281,1,140.19673,0.28039346,1,0.75,1
20.61693103,1,315.41016,0.63082032,1,0.8,1
10.54728044,1,452.33862,0.90467724,1,0.75,1
19.59040198,1,837.28985,0.976810203,1,0.8,1
12.12114826,1,439.63327,0.87926654,1,0.75,1
20.28937197,1,137.59215,0.2751843,1,0.85,1
20.45375499,1,483.24213,0.96648426,1,0.75,1
18.98114587,1,1568.369,0.865518755,1,0.85,1
17.53919964,1,80.53716,0.16107432,1,0.85,1
20.30936808,1,1493.32767,0.876942222,1,0.65,1
20.03624685,1,33.7906,0.0675812,1,0.75,1
20.55434529,1,288.27476,0.57654952,1,0.75,1
19.71105965,1,30.7216,0.0614432,1,0.75,1
20.84443309,1,450.66698,0.90133396,1,0.8,1
15.38678578,1,865.22332,0.972557919,1,0.85,1
19.17472656,1,882.67754,0.969900881,1,0.75,1
20.01846654,1,100718.3876,0,1,0.75,1
19.60049542,1,1610.24678,0.859143743,1,0.6,1
18.22070738,1,699.53201,1,1,0.6,1
16.93328712,1,512.69541,1,1,0.85,1
12.82682039,1,2372.20866,0.743151048,1,0.85,1
17.74023179,1,1684.28271,0.847873327,1,0.85,1
20.74253522,1,83.27882,0.16655764,1,0.6,1
18.46812281,1,111.41421,0.22282842,1,0.85,1
20.63998916,1,619.73615,1,1,0.85,1
19.22078273,1,300.63337,0.60126674,1,0.85,1
19.89814718,1,177.59558,0.35519116,1,0.8,1
20.34570834,1,306.94621,0.61389242,1,0.8,1
19.85489898,1,65.88385,0.1317677,1,0.8,1
20.79339171,1,79.76335,0.1595267,1,0.8,1
20.77448397,1,343.60411,0.68720822,1,0.85,1
16.05475071,1,196.85088,0.39370176,1,0.85,1
20.12905005,1,108.20328,0.21640656,1,0.85,1
14.9779123,1,726.49977,0.993675667,1,0.8,1
13.53912106,1,4238.33701,0.459072195,1,0.8,1
