pond_density,density_score,pond_area,area_score,SI9_oldham,SI9_lee,presence
20.69909536,1,85.54506,0.17109012,1,0.75,2
19.92437097,1,254.51763,0.50903526,1,0.75,2
11.50961467,1,31944.74853,0,1,0.75,2
10.59270201,1,9882.94474,0,1,0.75,2
20.71080708,1,42.36848,0.08473696,1,0.75,2
19.43256931,1,350.0862,0.7001724,1,0.75,2
17.31209867,1,1502.64408,0.875523994,1,0.75,2
19.45030265,1,150.29224,0.30058448,1,0.75,2
21.13261329,1,17.3903,0.0347806,1,0.75,2
19.80622737,1,183.66843,0.36733686,1,0.75,2
21.04041333,1,37.13815,0.0742763,1,0.75,2
21.23107414,1,12.89742,0.02579484,1,0.75,2
20.35057499,1,188.35279,0.37670558,1,0.75,2
20.95745784,1,38.71366,0.07742732,1,0.75,2
14.45230085,1,8277.67619,0,1,0.85,2
18.47190228,1,1243.09402,0.91503504,1,0.8,2
21.03288244,1,34.96807,0.06993614,1,0.85,2
20.98233913,1,32.94824,0.06589648,1,0.75,2
21.30513519,1,9.02863,0.01805726,1,0.75,2
20.10729687,1,247.35295,0.4947059,1,0.75,2
20.22418016,1,183.6212,0.3672424,1,0.75,2
19.25457808,1,703.63313,0.997156632,1,0.75,2
21.06496322,1,32.10371,0.06420742,1,0.75,2
21.06625276,1,30.4622,0.0609244,1,0.75,2
18.12729959,1,1390.86161,0.892540528,1,0.65,2
20.43237498,1,144.15247,0.28830494,1,0.75,2
19.97404773,1,280.86343,0.56172686,1,0.75,2
19.89516112,1,352.27664,0.70455328,1,0.8,2
21.11613569,1,25.68675,0.0513735,1,0.8,2
20.56499834,1,133.70307,0.26740614,1,0.65,2
20.6848766,1,69.79238,0.13958476,1,0.75,2
19.88872648,1,175.6437,0.3512874,1,0.75,2
20.10935933,1,260.55457,0.52110914,1,0.75,2
20.08820675,1,272.4511,0.5449022,1,0.75,2
10.34790871,1,14823.28622,0,1,0.75,2
20.88467664,1,56.33931,0.11267862,1,0.8,2
18.95593445,1,527.91284,1,0.892815359,0.75,2
19.12563079,1,869.49021,0.971908375,1,0.75,2
20.29686082,1,210.24085,0.4204817,1,0.65,2
19.83023148,1,177.52,0.35504,1,0.65,2
19.3651761,1,591.38079,1,1,0.8,2
20.85909663,1,66.25856,0.13251712,1,0.65,2
20.15861503,1,186.21759,0.37243518,1,0.75,2
19.02507099,1,863.90224,0.972759026,1,0.8,2
19.14655229,1,760.31019,0.98852874,1,0.74,2
18.52458,1,1043.41166,0.945432486,1,0.65,2
18.07820413,1,1111.65796,0.93504342,1,0.65,2
19.1786708,1,576.25336,1,1,0.65,2
19.06339066,1,830.99203,0.977768914,1,0.75,2
19.69388094,1,483.97063,0.96794126,1,0.65,2
19.40523898,1,492.07644,0.98415288,1,0.65,2
16.60106449,1,2454.67794,0.730596832,1,0.65,2
17.98286706,1,1392.00504,0.892366465,1,0.8,2
18.3243983,1,1499.40929,0.876016423,1,0.8,2
19.82996677,1,367.99132,0.73598264,1,0.8,2
20.31754153,1,79.36071,0.15872142,1,0.65,2
16.47562382,1,3813.64664,0.523722386,1,0.75,2
17.95955631,1,1615.85496,0.858290015,1,0.8,2
20.44238861,1,150.96522,0.30193044,1,0.65,2
18.27274336,1,620.48153,1,1,0.75,2
18.87798836,1,483.23041,0.96646082,1,0.75,2
18.88670089,1,289.71328,0.57942656,1,0.65,2
19.85488737,1,362.90508,0.72581016,0.907160111,0.75,2
19.88618538,1,366.51827,0.73303654,1,0.75,2
20.20190566,1,256.99626,0.51399252,1,0.8,2
20.65280863,1,86.05952,0.17211904,1,0.75,2
19.73877495,1,380.61733,0.76123466,1,0.75,2
20.5943394,1,115.26625,0.2305325,1,0.75,2
20.39251038,1,161.67361,0.32334722,1,0.75,2
21.07371309,1,36.41816,0.07283632,1,0.8,2
20.2755469,1,202.70264,0.40540528,1,0.8,2
19.84139331,1,260.64435,0.5212887,1,0.75,2
20.24033225,1,171.50645,0.3430129,1,0.75,2
19.97975984,1,197.23529,0.39447058,0.8728492,0.65,2
20.9134815,1,40.01279,0.08002558,1,0.85,2
20.91444811,1,44.30299,0.08860598,1,0.85,2
21.19958524,1,18.31699,0.03663398,1,0.8,2
19.75181532,1,312.67683,0.62535366,1,0.8,2
20.83204947,1,40.20412,0.08040824,1,0.8,2
20.79822551,1,62.67843,0.12535686,1,0.8,2
18.96652609,1,576.25954,1,1,0.75,2
21.20775464,1,23.16167,0.04632334,1,0.75,2
20.44466497,1,135.26193,0.27052386,1,0.75,2
21.13827101,1,21.28313,0.04256626,1,0.75,2
19.94127965,1,301.10202,0.60220404,1,0.75,2
19.38529724,1,535.78907,1,1,0.75,2
20.72691939,1,45.90894,0.09181788,1,0.75,2
19.76946397,1,388.07603,0.77615206,1,0.75,2
19.42656175,1,766.04547,0.987655664,1,0.65,2
